t_H,dBz
6.407512701116502285e-04,-1.982522057630831114e-08
6.448057829402387142e-04,-1.956321149521045299e-08
6.488731014542281628e-04,-1.934933280267614464e-08
6.529532838612794876e-04,-1.913769409611632000e-08
6.570462719537317753e-04,-1.892478707077316358e-08
6.611520657315850258e-04,-1.872670907232532045e-08
6.652706651948392391e-04,-1.852777486988088640e-08
6.694020703434944153e-04,-1.827111972829698061e-08
6.735462811775505543e-04,-1.796468396264572220e-08
6.777032976970076561e-04,-1.767745416714205930e-08
6.818731199018657207e-04,-1.746243327716001659e-08
6.860557477921247482e-04,-1.729704379727081687e-08
6.902511813677847385e-04,-1.710886365913211193e-08
6.944594206288456917e-04,-1.687906170388941973e-08
6.986804655753076077e-04,-1.663990190081676701e-08
7.029143162071704865e-04,-1.643131142259335320e-08
7.071609725244343281e-04,-1.624244205800096097e-08
7.114204345270991325e-04,-1.606412070032092743e-08
7.156927022151648998e-04,-1.590766984804758977e-08
7.199777755886316299e-04,-1.575955366206471808e-08
7.242756546474993229e-04,-1.561022600071737543e-08
7.285863393917679787e-04,-1.545382488643554098e-08
7.329098298214375973e-04,-1.530208137978661398e-08
7.372461841441690922e-04,-1.515440928301359236e-08
7.415953441523015499e-04,-1.501204671683353808e-08
7.459573098458349705e-04,-1.486146672391441825e-08
7.503320812247693539e-04,-1.470677357673366714e-08
7.547196582891047001e-04,-1.456027121093939058e-08
7.591200410388410091e-04,-1.442242059113141295e-08
7.635332294739782810e-04,-1.427980755863700324e-08
7.679592235945165157e-04,-1.411241168369770094e-08
7.723980234004557133e-04,-1.392808357536523545e-08
7.768496288917958736e-04,-1.375028357841756588e-08
7.813140400685369968e-04,-1.359976753434466445e-08
7.857912569306790829e-04,-1.345809419461829748e-08
7.902812794782221317e-04,-1.330530441379096374e-08
7.947841077111661434e-04,-1.313732589380833815e-08
7.992997416295111179e-04,-1.296421991980878374e-08
8.038282394409179688e-04,-1.280297468042590481e-08
8.083695429377257824e-04,-1.265382554294092188e-08
8.129236521199345589e-04,-1.251117165423920596e-08
8.174905669875442982e-04,-1.237278013377363095e-08
8.220702875405550003e-04,-1.225114765190937760e-08
8.266628137789666653e-04,-1.214359990342472884e-08
8.312681457027792931e-04,-1.201208998935499039e-08
8.358862833119928837e-04,-1.185846443263471883e-08
8.405172266066074371e-04,-1.172222319212323782e-08
8.451609755866229534e-04,-1.163394092174030447e-08
8.498175302520394325e-04,-1.156243456534866709e-08
8.544868906028568745e-04,-1.145195493990058822e-08
8.591691148467361927e-04,-1.131046367675025976e-08
8.638641447760164738e-04,-1.118736570049350121e-08
8.685719803906977177e-04,-1.110256775405105145e-08
8.732926216907799244e-04,-1.101766589073349678e-08
8.780260686762630939e-04,-1.091204104852749879e-08
8.827723213471472263e-04,-1.079571632089937339e-08
8.875313797034323215e-04,-1.068183053121174453e-08
8.923032437451183796e-04,-1.055941822869499447e-08
8.970879134722054005e-04,-1.043446040682738385e-08
9.018853888846933842e-04,-1.032856200566811822e-08
9.066956699825823307e-04,-1.025342388771832702e-08
9.115188149735331535e-04,-1.017875206343887839e-08
9.163547656498849392e-04,-1.007204097902558715e-08
9.212035220116376877e-04,-9.941433454230264033e-09
9.260650840587913990e-04,-9.822904267764442920e-09
9.309394517913460732e-04,-9.733611250339890830e-09
9.358266252093017101e-04,-9.649905763353672228e-09
9.407266043126583099e-04,-9.546329948761922424e-09
9.456393891014158726e-04,-9.424352853670825425e-09
9.505649795755743980e-04,-9.306384995966254792e-09
9.555033757351338863e-04,-9.213209750669193454e-09
9.604545775800943375e-04,-9.142294921105076355e-09
9.654186433181166649e-04,-9.068358508557139430e-09
9.703955147415399551e-04,-8.967584896879543521e-09
9.753851918503642082e-04,-8.859187161647241737e-09
9.803876746445894241e-04,-8.762503611592364905e-09
9.854029631242156029e-04,-8.683175067858428520e-09
9.904310572892427444e-04,-8.610063773062393011e-09
9.954719571396708488e-04,-8.542512475173680286e-09
1.000525662675499916e-03,-8.473339363490595133e-09
1.005592173896729946e-03,-8.386551009209597396e-09
1.010671490803360939e-03,-8.289866570976300864e-09
1.015763613395392895e-03,-8.202926338185534405e-09
1.020868541672825813e-03,-8.140165874692684156e-09
1.025986275635659695e-03,-8.077771340708750358e-09
1.031116815283894539e-03,-7.996376005792171782e-09
1.036260277032852173e-03,-7.904567667083028937e-09
1.041416544467210770e-03,-7.827155812378805422e-09
1.046585617586970329e-03,-7.769704879478922521e-09
1.051767496392130852e-03,-7.703961912852719252e-09
1.056962180882692337e-03,-7.614206154471503396e-09
1.062169671058654785e-03,-7.516629096926408238e-09
1.067389966920018196e-03,-7.435482896056555546e-09
1.072623068466782570e-03,-7.381653066573790056e-09
1.077868975698947906e-03,-7.334169715988991811e-09
1.083127688616514206e-03,-7.267753510120655847e-09
1.088399207219481468e-03,-7.175638749856716458e-09
1.093683531507849693e-03,-7.089987263952934882e-09
1.098980661481618881e-03,-7.034874016653702711e-09
1.104290597140789032e-03,-7.001635271564055074e-09
1.109613338485360146e-03,-6.946272890218097018e-09
1.114948885515332222e-03,-6.861550438941321772e-09
1.120297238230705261e-03,-6.780792816130087886e-09
1.125658513046801090e-03,-6.728107404541106007e-09
1.131032593548297882e-03,-6.689610643206833629e-09
1.136419479735195637e-03,-6.623506187963812408e-09
1.141819171607494354e-03,-6.532338225895273354e-09
1.147231669165194035e-03,-6.457807621984557045e-09
1.152656972408294678e-03,-6.408728214779557675e-09
1.158095081336796284e-03,-6.358245485671432107e-09
1.163545995950698853e-03,-6.288955134436946537e-09
1.169009716250002384e-03,-6.214852632524525688e-09
1.174486242234706879e-03,-6.158679788370591268e-09
1.179975573904812336e-03,-6.121955387072830490e-09
1.185477711260318756e-03,-6.081033898652776770e-09
1.190992654301226139e-03,-6.029915233796145912e-09
1.196520403027534485e-03,-5.980603567934394960e-09
1.202060957439243793e-03,-5.939931213561067125e-09
1.207614317536354065e-03,-5.901195532231895413e-09
1.213180599734187126e-03,-5.849539963520555830e-09
1.218759687617421150e-03,-5.795540936048837466e-09
1.224351581186056137e-03,-5.749127840459777872e-09
1.229956280440092087e-03,-5.707219141726227463e-09
1.235573785379528999e-03,-5.665133251397946879e-09
1.241204096004366875e-03,-5.613714826324667229e-09
1.246847212314605713e-03,-5.555858884065401071e-09
1.252503134310245514e-03,-5.494470212141777665e-09
1.258171861991286278e-03,-5.437257755147584248e-09
1.263853395357728004e-03,-5.387688517544120259e-09
1.269547734409570694e-03,-5.345183851090951066e-09
1.275254879146814346e-03,-5.301350469721910486e-09
1.280974829569458961e-03,-5.254650048414077901e-09
1.286707585677504539e-03,-5.207098752180172596e-09
1.292453263886272907e-03,-5.159199290005744842e-09
1.298211747780442238e-03,-5.110709189182216505e-09
1.303983037360012531e-03,-5.071643993659336047e-09
1.309767132624983788e-03,-5.037011696629178914e-09
1.315564033575356007e-03,-5.002192882130884755e-09
1.321373740211129189e-03,-4.962413591158565396e-09
1.327196252532303333e-03,-4.919126439517640392e-09
1.333031570538878441e-03,-4.879934678569952666e-09
1.338879694230854511e-03,-4.841669287714012171e-09
1.344740623608231544e-03,-4.803347497528420718e-09
1.350614358671009541e-03,-4.768443417901835346e-09
1.356500899419188499e-03,-4.727658264869205595e-09
1.362400245852768421e-03,-4.679119758321803602e-09
1.368312397971749306e-03,-4.629985284054782824e-09
1.374237472191452980e-03,-4.592836777561615236e-09
1.380175352096557617e-03,-4.560856581292682677e-09
1.386126037687063217e-03,-4.524622454482596368e-09
1.392089528962969780e-03,-4.482651583259666950e-09
1.398065825924277306e-03,-4.438217793278909085e-09
1.404054928570985794e-03,-4.392417540799442577e-09
1.410056836903095245e-03,-4.347137760873920342e-09
1.416071550920605659e-03,-4.308433609878647985e-09
1.422099070623517036e-03,-4.285355181821159931e-09
1.428139396011829376e-03,-4.269113951238523441e-09
1.434192527085542679e-03,-4.241875739552369851e-09
1.440258463844656944e-03,-4.200792602659930708e-09
1.446337206289172173e-03,-4.158826616418309641e-09
1.452428870834410191e-03,-4.124820485174041096e-09
1.458533341065049171e-03,-4.099994121986583195e-09
1.464650616981089115e-03,-4.081909477093859095e-09
1.470780698582530022e-03,-4.063904768258908007e-09
1.476923585869371891e-03,-4.032361999861677759e-09
1.483079278841614723e-03,-3.988239072327814938e-09
1.489247777499258518e-03,-3.946260207499108219e-09
1.495429081842303276e-03,-3.912630219815582677e-09
1.501623191870748997e-03,-3.878093401965543308e-09
1.507830107584595680e-03,-3.840718854064562038e-09
1.514049828983843327e-03,-3.801641668133015628e-09
1.520282356068491936e-03,-3.767254952435905579e-09
1.526527688838541508e-03,-3.732004927314847009e-09
1.532785943709313869e-03,-3.696360550975441583e-09
1.539057004265487194e-03,-3.659366143438091967e-09
1.545340870507061481e-03,-3.628950917544671029e-09
1.551637542434036732e-03,-3.603568554666480850e-09
1.557947020046412945e-03,-3.582269147983652147e-09
1.564269303344190121e-03,-3.563401573813962386e-09
1.570604392327368259e-03,-3.544444293623882913e-09
1.576952286995947361e-03,-3.520830516023920609e-09
1.583312987349927425e-03,-3.495772560313525901e-09
1.589686493389308453e-03,-3.473810572529600904e-09
1.596072805114090443e-03,-3.452683028370984175e-09
1.602471922524273396e-03,-3.427623518348354992e-09
1.608883962035179138e-03,-3.403317405670236440e-09
1.615308807231485844e-03,-3.381559032789027697e-09
1.621746458113193512e-03,-3.355347999445257301e-09
1.628196914680302143e-03,-3.322120134541250991e-09
1.634660176932811737e-03,-3.286602101582047908e-09
1.641136244870722294e-03,-3.253865621388740692e-09
1.647625118494033813e-03,-3.225672173812199617e-09
1.654126797802746296e-03,-3.203978860000233908e-09
1.660641282796859741e-03,-3.181237939742231902e-09
1.667168573476374149e-03,-3.150196548062922375e-09
1.673708669841289520e-03,-3.120619762597698355e-09
1.680261571891605854e-03,-3.096623624188055146e-09
1.686827396042644978e-03,-3.073473031633966457e-09
1.693406025879085064e-03,-3.051728203473658141e-09
1.699997461400926113e-03,-3.034539730606411467e-09
1.706601702608168125e-03,-3.016574323666532109e-09
1.713218749500811100e-03,-2.995820702622609133e-09
1.719848602078855038e-03,-2.972484924868012968e-09
1.726491260342299938e-03,-2.954087641171554424e-09
1.733146724291145802e-03,-2.942913912562516998e-09
1.739814993925392628e-03,-2.927549314080124532e-09
1.746496069245040417e-03,-2.903176810065133395e-09
1.753189950250089169e-03,-2.878920657423122975e-09
1.759896636940538883e-03,-2.858951742013005060e-09
1.766616245731711388e-03,-2.836356705060438799e-09
1.773348660208284855e-03,-2.812703403520799839e-09
1.780093880370259285e-03,-2.788827169197816147e-09
1.786851906217634678e-03,-2.765463635867604353e-09
1.793622737750411034e-03,-2.744302118884434094e-09
1.800406374968588352e-03,-2.722217118389380630e-09
1.807202817872166634e-03,-2.702502444051901875e-09
1.814012066461145878e-03,-2.681510569146894341e-09
1.820834120735526085e-03,-2.659156006501461889e-09
1.827668980695307255e-03,-2.638959495371295816e-09
1.834516646340489388e-03,-2.622071670899117635e-09
1.841377234086394310e-03,-2.601812099101152853e-09
1.848250627517700195e-03,-2.580835989363094995e-09
1.855136826634407043e-03,-2.562368539571480142e-09
1.862035831436514854e-03,-2.550208266782760802e-09
1.868947641924023628e-03,-2.531920451076530298e-09
1.875872258096933365e-03,-2.509791485749701678e-09
1.882809679955244064e-03,-2.484893180110248068e-09
1.889759907498955727e-03,-2.466558290947773457e-09
1.896722940728068352e-03,-2.456164827080442592e-09
1.903698779642581940e-03,-2.447011260287013101e-09
1.910687424242496490e-03,-2.428105938534486086e-09
