t_H,dBz
1.961938338354229927e-03,-9.367769893131594472e-10
1.970715820789337158e-03,-9.275842316469606885e-10
1.979512860998511314e-03,-9.178624527095280428e-10
1.988329691812396049e-03,-9.067187001221554965e-10
1.997166080400347710e-03,-8.953877084216799176e-10
2.006022026762366295e-03,-8.865894685072817083e-10
2.014897530898451805e-03,-8.780616234105309559e-10
2.023792825639247894e-03,-8.679432728087022042e-10
2.032707678154110909e-03,-8.577478727289644667e-10
2.041642088443040848e-03,-8.481976232488364076e-10
2.050596056506037712e-03,-8.397849082797392839e-10
2.059569815173745155e-03,-8.301567766544337701e-10
2.068563131615519524e-03,-8.203726031830171905e-10
2.077576005831360817e-03,-8.124946271337307735e-10
2.086608437821269035e-03,-8.042010390951759291e-10
2.095660660415887833e-03,-7.950200497930381971e-10
2.104732440784573555e-03,-7.859027317813627178e-10
2.113823778927326202e-03,-7.777505306449938871e-10
2.122934674844145775e-03,-7.698478521334095603e-10
2.132065361365675926e-03,-7.611616892333472606e-10
2.141215605661273003e-03,-7.525586820378293851e-10
2.150385407730937004e-03,-7.452859440704173721e-10
2.159574767574667931e-03,-7.379817867914084673e-10
2.168783685192465782e-03,-7.290661963033073789e-10
2.178012393414974213e-03,-7.214280284273399957e-10
2.187260659411549568e-03,-7.141681690470136346e-10
2.196528483182191849e-03,-7.062785911671198846e-10
2.205815864726901054e-03,-6.988167822186142075e-10
2.215123036876320839e-03,-6.920226613971180996e-10
2.224449766799807549e-03,-6.846913036540058783e-10
2.233796054497361183e-03,-6.770354832319469551e-10
2.243161899968981743e-03,-6.699170107538066077e-10
2.252547536045312881e-03,-6.631435400805685276e-10
2.261952729895710945e-03,-6.562592136383216257e-10
2.271377481520175934e-03,-6.497525295579009708e-10
2.280821790918707848e-03,-6.431964960640357276e-10
2.290285890921950340e-03,-6.362977367224686986e-10
2.299769548699259758e-03,-6.289059273356656377e-10
2.309272764250636101e-03,-6.228630389237821419e-10
2.318795537576079369e-03,-6.168012767204800184e-10
2.328338101506233215e-03,-6.106308791942183234e-10
2.337900223210453987e-03,-6.039079236686006880e-10
2.347481902688741684e-03,-5.980206885247696391e-10
2.357083139941096306e-03,-5.919257861641824547e-10
2.366704167798161507e-03,-5.857536677922325907e-10
2.376344753429293633e-03,-5.799145053053678112e-10
2.386004896834492683e-03,-5.741005448811620226e-10
2.395684598013758659e-03,-5.678256753682831004e-10
2.405384089797735214e-03,-5.623370658014437140e-10
2.415103139355778694e-03,-5.573610462050737624e-10
2.424841746687889099e-03,-5.515985446180593499e-10
2.434599911794066429e-03,-5.452656659521437632e-10
2.444377867504954338e-03,-5.397527980122163171e-10
2.454175380989909172e-03,-5.347006171163570798e-10
2.463992452248930931e-03,-5.297425831329860557e-10
2.473829081282019615e-03,-5.242999367993661508e-10
2.483685500919818878e-03,-5.190848306746431717e-10
2.493561478331685066e-03,-5.140566861072670690e-10
2.503457013517618179e-03,-5.084201948335476118e-10
2.513372106477618217e-03,-5.030388328108870155e-10
2.523306990042328835e-03,-4.992453117580453181e-10
2.533261431381106377e-03,-4.944830656050669404e-10
2.543235430493950844e-03,-4.884491699996829084e-10
2.553228987380862236e-03,-4.837513722932840210e-10
2.563242334872484207e-03,-4.799730612958796883e-10
2.573275240138173103e-03,-4.751345983322607935e-10
2.583327703177928925e-03,-4.697984223867024411e-10
2.593399723991751671e-03,-4.652040419550473871e-10
2.603491535410284996e-03,-4.614700843674768294e-10
2.613602904602885246e-03,-4.571650835671903224e-10
2.623733831569552422e-03,-4.522054120048579762e-10
2.633884316310286522e-03,-4.473798276283247333e-10
2.644054591655731201e-03,-4.432113565044915049e-10
2.654244424775242805e-03,-4.398825470541822824e-10
2.664453815668821335e-03,-4.351402571600715419e-10
2.674682764336466789e-03,-4.302401768185859510e-10
2.684931503608822823e-03,-4.270554465612974582e-10
2.695199800655245781e-03,-4.229798178378985085e-10
2.705487655475735664e-03,-4.185449764548820895e-10
2.715795068070292473e-03,-4.150296772920114563e-10
2.726122271269559860e-03,-4.108451356898967788e-10
2.736469032242894173e-03,-4.067363390536371526e-10
2.746835350990295410e-03,-4.025880739888521020e-10
2.757221227511763573e-03,-3.992415287257244927e-10
2.767626894637942314e-03,-3.961095063065300792e-10
2.778052119538187981e-03,-3.925113567504467937e-10
2.788496902212500572e-03,-3.873993348335602604e-10
2.798961242660880089e-03,-3.840061602033983945e-10
2.809445373713970184e-03,-3.809663973175503315e-10
2.819949062541127205e-03,-3.775226520286167897e-10
2.830472309142351151e-03,-3.737709031170766139e-10
2.841015113517642021e-03,-3.706469575703863484e-10
2.851577708497643471e-03,-3.667930681405806581e-10
2.862159861251711845e-03,-3.631903389145207939e-10
2.872761571779847145e-03,-3.603944920271828778e-10
2.883382840082049370e-03,-3.576500207103094908e-10
2.894023898988962173e-03,-3.531585579530371888e-10
2.904684515669941902e-03,-3.495967404454347616e-10
2.915364690124988556e-03,-3.474216747623160018e-10
2.926064422354102135e-03,-3.447656049537783929e-10
2.936783945187926292e-03,-3.407131798915941090e-10
2.947523025795817375e-03,-3.375498214275296505e-10
2.958281664177775383e-03,-3.346765642397997453e-10
2.969059860333800316e-03,-3.315295815653485079e-10
2.979857847094535828e-03,-3.282484839495225515e-10
2.990675391629338264e-03,-3.256935554585282944e-10
3.001512493938207626e-03,-3.233388001788739530e-10
3.012369154021143913e-03,-3.199758236149818913e-10
3.023245604708790779e-03,-3.165995243747943277e-10
3.034141613170504570e-03,-3.139577486876987678e-10
3.045057179406285286e-03,-3.116803481972851841e-10
3.055992303416132927e-03,-3.086868538559883746e-10
3.066947218030691147e-03,-3.055471431423484319e-10
3.077921690419316292e-03,-3.032525341950531583e-10
3.088915720582008362e-03,-3.004049231591920943e-10
3.099929308518767357e-03,-2.970235168930912550e-10
3.110962687060236931e-03,-2.951404676210245270e-10
3.122015623375773430e-03,-2.929547715524449814e-10
3.133088117465376854e-03,-2.897079243169287111e-10
3.144180169329047203e-03,-2.872806992293419626e-10
